"slug","dep","rec_pub","rec_priv","rec_res"
"sre","SRE",48,0,0
"estado-de-jalisco","Estado de Jalisco",179,0,0
"sagarpa","SAGARPA",0,1,0
"cenatra","CENATRA",2,0,0
"coneval","CONEVAL",0,0,0
"asa","Aeropuertos y Servicios Auxiliares",4,0,0
"imjuve","IMJUVE",12,0,0
"ipicyt","IPICYT",6,0,0
"sedena","SEDENA",38,0,0
"cfe","CFE",8,0,0
"ech","ECH",4,0,0
"incan","INCAN",12,0,0
"fnd","FND",9,0,0
"inba","INBA",25,0,0
"imss","IMSS",176,0,0
"ayuntamiento-de-xalapa","Ayuntamiento de Xalapa",40,0,0
"inacipe","INACIPE",0,5,0
"api-zlo","API-ZLO",14,0,0
"procuraduria-agraria","Procuraduría Agraria",0,5,0
"hraeo","HRAEO",2,0,0
"issfam","ISSFAM",8,0,0
"csaegro","CSAEGRO",8,0,0
"lotenal","LOTENAL",0,3,0
"profedet","PROFEDET",18,0,0
"servicio-geologico-mexicano","Servicio Geológico Mexicano",44,0,0
"ayuntamiento-de-veracruz","Ayuntamiento de Veracruz",0,2,0
"sectur","SECTUR",29,0,0
"sep","SEP",0,0,0
"issste","ISSSTE",17,0,0
"conapred","CONAPRED",6,0,0
"prospera","PROSPERA",99,0,0
"inali","INALI",14,0,0
"ran","RAN",151,0,0
"conapo","CONAPO",61,0,0
"prodecon","PRODECON",40,0,0
"cnsf","CNSF",94,0,0
"im","Instituto Mora",20,0,0
"inifap","INIFAP",5,0,0
"conaza","CONAZA",4,0,0
"cdi","CDI",18,0,0
"nafin","NAFIN",9,0,0
"spr","Sistema Público de Radiofusión del Estado Mexicano",10,0,0
"conampros","CONAMPROS",9,0,0
"conaliteg","CONALITEG",7,0,0
"conavi","CONAVI",5,0,0
"imt","imt",0,1,0
"cimav","CIMAV",2,0,0
"iie","IIE",5,0,0
"estado-de-veracruz","Estado de Veracruz",0,2,0
"api-coa","API-COA",14,0,0
"conagua","CONAGUA",55,0,0
"cicy","CICY",0,6,0
"himfg","HIMFG",6,0,0
"cm","Correos de México",82,0,0
"shcp","SHCP",32,0,0
"semarnat","SEMARNAT",0,2,0
"ase-chihuahua","ASE Chihuahua",6,0,0
"cmm","CMM",20,0,0
"ayuntamiento-de-reynosa","Ayuntamiento de Reynosa",7,0,0
"sat","SAT",60,0,0
"ayuntamiento-de-puebla","Ayuntamiento de Puebla",105,0,0
"ciad","CIAD",21,0,0
"inea","INEA",18,0,0
"conadesuca","CONADESUCA",7,0,0
"inapesca","INAPESCA",5,0,0
"inecol","INECOL",15,0,0
"profepa","Procuraduría Federal de Protección al Ambiente",15,0,0
"sedatu","SEDATU",10,0,0
"inifed","INIFED",1,0,0
"ayuntamiento-de-torreon","Ayuntamiento de Torreón",10,0,0
"sct","SCT",70,0,0
"inecc","INECC",1097,0,0
"sener","Secretaría de Energía",0,2,0
"api-scx","API-SCX",5,0,0
"fira","FIRA",3,0,0
"sndif","SNDIF",14,0,0
"ciatec","CIATEC",0,1,0
"ayuntamiento-de-veracruz","Ayuntamiento de Veracruz",17,0,0
"segob","SEGOB",0,3,0
"api-pch","API-PCH",0,1,0
"ciatej","CIATEJ",3,0,0
"insp","INSP",0,59,0
"ayuntamiento-de-minatitlan","Ayuntamiento de Minatitlán",21,0,0
"cofepris","COFEPRIS",5,0,0
"api-mzt","API-MZT",6,0,0
"api-ver","API-VER",0,6,0
"fonhapo","FONHAPO",14,0,0
"elccc","ELCCC",0,0,0
"telecomm","Telecomm",14,0,0
"promexico","ProMéxico",16,0,0
"sedesol","SEDESOL",61,0,0
"ipn","IPN",9,0,0
"firco","FIRCO",48,0,0
"cofaa","COFAA",0,0,0
"conasami","CONASAMI",4,0,0
"cio","CIO",3,0,0
"seguro-popular","Seguro Popular",3,0,0
"conapesca","CONAPESCA",0,20,0
"consar","CONSAR",NA,NA,NA
"ipab","IPAB",48,0,0
"api-db","API-DB",12,0,0
"inah","INAH",2,0,0
"agroasemex","AGROASEMEX",0,19,0
"cimat","CIMAT",44,0,0
"conabio","CONABIO",19,0,0
"cicese","CICESE",5,0,0
"bancomext","BANCOMEXT",NA,NA,NA
"sesnsp","SESNSP",13,0,0
"cineteca-nacional","CINETECA NACIONAL",7,0,0
"condusef","CONDUSEF",8,0,0
"crae","CRAE",16,0,0
"cre","CRE",20,0,0
"colpos","COLPOS",5,0,0
"pronabive","PRONABIVE",3,0,0
"fonart","FONART",12,0,0
"conanp","CONANP",161,0,0
"aicm","AICM",3,0,0
"inapam","INAPAM",2,0,0
"pgr","PGR",42,0,0
"birmex","BIRMEX",4,0,0
"centro-de-investigaciones-y-estudios-superiores-en-antropologia-social","Centro de Investigaciones y Estudios Superiores en Antropología Social",0,4,0
"colsan","COLSAN",5,0,0
"conocer","CONOCER",4,0,0
"cibnor","CIBNOR",10,0,0
"conafor","CONAFOR",13,0,0
"sfp","SFP",31,0,0
"presidencia","Presidencia",14,0,0
"sae","SAE",8,0,0
"api-lzc","API-LZC",5,0,0
"hraeb","HRAEB",34,0,0
"diconsa","DICONSA",0,1,0
"api-vsa","API-VSA",5,0,0
"canal-11","Canal 11",0,0,0
"hggea","HGGEA",13,0,0
"colef","COLEF",0,2,0
"cideteq","CIDETEQ",36,0,0
"api-tam","API-TAM",13,0,0
"senasica","SENASICA",60,0,0
